Contabilidades Especiales II;2;10;24
Contabilidad Tributaria II;2;10;32
Analisis de Casos Financieros;2;10;32
Gerencia (De Calidad);2;10;24
Proyección Profesional;2;10;32
Proyecto de Investigacion VIII;2;10;32
Contabilidades EspecialesII;2;10;24
Contabilidad Tributaria II;2;10;32
Analisis de Casos Financieros;2;10;32
Gerencia (de Calidad);2;10;24
Proyección Profesional;2;10;32
Proyecto de Investigacion VIII;2;10;32
Contabilidades EspecialesII;2;10;24
Contabilidad Tributaria II;2;10;32
Analisis de Casos Financieros;2;10;32
Gerencia (de Calidad);2;10;24
Proyección Profesional;2;10;32
Proyecto de Investigacion VIII;2;10;32
Juego Gerencial;1;10;24
Prospectiva;1;10;32
Administración III;1;10;32
Gerencia de Producción;1;10;32
Gestión Ambiental;1;10;32
Proyecto de Investigación VIII;1;10;24
Auditoria de sistemas;3;8;24
Electiva profesional A1 ( Programación moviles );3;8;32
Electiva profesional B1(Redes de Alta velocidad);3;8;32
Gerencia de proyectos;3;8;32
Nuevas tecnologìas;3;8;32
Electiva Profesional A2;3;9;32
Electiva Profesional B2;3;9;32
Ética Profesional;3;9;32
Metodología de Investigación;3;9;32
Patrones de Desarrollo;3;9;32
Electiva Profesional A3;3;10;32
Electiva Profesional B3;3;10;32
Metodologías Avanzadas de Desarrollo;3;10;32
Técnicas de Negociación;3;10;32
Anteproyecto de Investigación;3;10;32